RESUMEN: ANÁLISIS DE LA PRESENCIA DE MUJERES EN LOS FESTIVALES MUSICALES. ESPAÑA 2017. www.mujeresymusica.com,,,,,,,,,
SOLISTAS HOMBRES,17,,,SOLISTAS HOMBRES,59,,,SOLISTAS HOMBRES,15
GÉNERO NO BINARIO,1,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
SANSAN,,,,VIÑAROCK,,,,SONAR,
BANDAS DE MUJERES,1,,,BANDAS DE MUJERES,0,,,BANDAS DE MUJERES,3
SOLISTAS MUJERES,3,,,SOLISTAS MUJERES,1,,,SOLISTAS MUJERES,25
BANDAS MIXTAS,5,,,BANDAS MIXTAS,9,,,BANDAS MIXTAS,11
BANDAS DE HOMBRES,62,,,BANDAS DE HOMBRES,83,,,BANDAS DE HOMBRES,29
SOLISTAS HOMBRES,6,,,SOLISTAS HOMBRES,26,,,SOLISTAS HOMBRES,59
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
IBOGA,,,,ROTOTOM,,,,ALRUMBO,
BANDAS DE MUJERES,0,,,BANDAS DE MUJERES,1,,,BANDAS DE MUJERES,0
SOLISTAS MUJERES,1,,,SOLISTAS MUJERES,11,,,SOLISTAS MUJERES,2
BANDAS MIXTAS,13,,,BANDAS MIXTAS,23,,,BANDAS MIXTAS,2
BANDAS DE HOMBRES,27,,,BANDAS DE HOMBRES,79,,,BANDAS DE HOMBRES,18
SOLISTAS HOMBRES,7,,,SOLISTAS HOMBRES,77,,,SOLISTAS HOMBRES,7
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ROCK FEST ,,,,BIORITME,,,,XE QUE BO,
BANDAS DE MUJERES,0,,,BANDAS DE MUJERES,1,,,BANDAS DE MUJERES,1
SOLISTAS MUJERES,0,,,SOLISTAS MUJERES,6,,,SOLISTAS MUJERES,5
BANDAS MIXTAS,2,,,BANDAS MIXTAS,11,,,BANDAS MIXTAS,6
BANDAS DE HOMBRES,46,,,BANDAS DE HOMBRES,17,,,BANDAS DE HOMBRES,1
SOLISTAS HOMBRES,3,,,SOLISTAS HOMBRES,4,,,SOLISTAS HOMBRES,3
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MADRID POP FEST,,,,DCODE,,,,ACAMPADA JOVE,
BANDAS DE MUJERES,0,,,BANDAS DE MUJERES,0,,,BANDAS DE MUJERES,1
SOLISTAS MUJERES,2,,,SOLISTAS MUJERES,1,,,SOLISTAS MUJERES,0
BANDAS MIXTAS,11,,,BANDAS MIXTAS,3,,,BANDAS MIXTAS,1
BANDAS DE HOMBRES,6,,,BANDAS DE HOMBRES,11,,,BANDAS DE HOMBRES,9
SOLISTAS HOMBRES,3,,,SOLISTAS HOMBRES,4,,,SOLISTAS HOMBRES,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
METROPOLIS GIJON,,,,,,,,,
BANDAS DE MUJERES,1,,,,,,,,
SOLISTAS MUJERES,0,,,,,,,,
BANDAS MIXTAS,2,,,,,,,,
BANDAS DE HOMBRES,12,,,,,,,,
SOLISTAS HOMBRES,9,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Análisis Realizado por Ale Castellano, Silvia Valle, Laura Valls. www.mujeresymusica.com",,,,,,,,,
